AmountSaved,저장된 금액
ScotApp_1503,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1756,검색 결과에서 선택하거나 ‘뒤로 이동’.
ScotApp_1456,부정확한 출납 직원 번호 및 패스워드. \n다시 시도해 주십시오
ScotApp_1502,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1712,보류 거부됨
ScotApp_1468,현금 재활용 상태 비어 있음
ScotApp_1246,EBT
ScotApp_75,완료
ScotApp_65,65unused
ScotApp_55,모두 취소
ScotApp_45,45unused
ScotApp_35,거스름돈 액수:
ScotApp_1258,PIP 선물 카드
ScotApp_15,상품 코드:
ScotApp_1711,보류 거부됨
ScotApp_1683,SafePay
ScotApp_95,쿠폰 스캔
ScotApp_85,85unused
ScotApp_1058,도움 입찰
ScotApp_1664,SafePay
ScotApp_797,%s 지급 실패.\n* 카세트 내의 지폐를 확인하고 지폐 지급 장치에 걸림이 발생하지 않았는지 점검해 주십시오.\n* 지폐 카세트와 방출 상자가 올바로 걸려 있는지 확인하십시오.\n* 안전 도어를 닫아 주십시오.
ScotApp_697,697unused
ScotApp_597,NCR SelfServ Checkout Forms %d 로드 중...
ScotApp_497,금액:
ScotApp_297,297unused
ScotApp_197,Presentation Services 로드 완료.
ScotApp_997,가격 입력
ScotApp_897,WTINFO 로드 완료.
ScotApp_1454,패스워드 입력 후 ‘입력’ 누름.
ScotApp_1710,반환된 현금을 받아 주십시오
ScotApp_1741,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s 예상;LSWND3=%s %s 관찰
ScotApp_1388,교육 프로그램
ScotApp_771,보류 취소
ScotApp_671,교육 모드 나가기
ScotApp_571,"수량을 입력한 다음 '입력'을 눌러 주십시오."
ScotApp_471,   시각적 확인
ScotApp_371,프린터 헤드 교체
ScotApp_271,사용한 쿠폰 승인
ScotApp_971,971unused
ScotApp_871,보류 확인
ScotApp_1840,매장 번호:
ScotApp_750,오늘 요약
ScotApp_650,정규 제품
ScotApp_550,550unused
ScotApp_450,450unused
ScotApp_350,현금/용지 상태
ScotApp_250,250unused
ScotApp_150,캐시 백 금액 선택
ScotApp_1773,‘쿠폰 승인’을 눌러서 쿠폰을 인정하거나 도움 모드로 이동해서 무효화하십시오.
ScotApp_950,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s 추가됨;LSWND3=%s;
ScotApp_850,상품 하나
ScotApp_1405,POS가 동기화에서 벗어 났습니다.  다시 동기화하기 위해 도움 모드를 사용해 주십시오.
ScotApp_1513,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1657,잘못된 부문
ScotApp_1225,알 수 없는 상품
ScotApp_644,-------------------------------------------------------------------
ScotApp_544,패스워드는 %d 자리를 초과할 수 없습니다.
ScotApp_444,푸드 스탬프
ScotApp_344,344unused
ScotApp_244,244unused
ScotApp_144,서명 비교
ScotApp_1590,상자 %s 동전 걸림.
ScotApp_1669,SafePay
ScotApp_944,봉투/상자에 요청이 너무 많음.  Max = %d.
ScotApp_844,844unused
ScotApp_1729,상품 찾기:
ScotApp_1447,현금 제거
ScotApp_1703,(+)
ScotApp_1656,"부문 코드를 입력한 다음 '입력'을 눌러 주십시오."
ScotApp_915,요청이 너무 많아서 벨트 건너뛰기 불가능.  최대 = %d.
ScotApp_1668,SafePay
ScotApp_1542,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1139,지폐 지급 장치 도어가 열려 있습니다.
ScotApp_1254,PIP 직불 예금
ScotApp_1249,PIP 일반
ScotApp_77,크레딧
ScotApp_67,뒤로 이동
ScotApp_57,종료 및 결제
ScotApp_47,시작
ScotApp_37,37unused
ScotApp_1458,NCR SelfServ Checkout 보고서
ScotApp_17,쿠폰
ScotApp_1752,저울 위 무게가 너무 무겁습니다.
ScotApp_1643,SafePay
ScotApp_97,목록에서 용기 선택
ScotApp_87,87unused
ScotApp_1665,SafePay
ScotApp_1138,%s 지급 실패.  
ScotApp_1589,동전 없음
ScotApp_1445,수량 변경
ScotApp_1318,상품권 검색
ScotApp_1654,개수가 용량을 초과했습니다. 필요한 최대 적재 개수는 %d 입니다. 개수로 %d이(가) 자동으로 입력됩니다.
ScotApp_796,"동전 부족 또는 동전 지급 장치 에러/꺼짐.\n* 동전 지급 장치를 켜 주십시오. 또는\n* 동전을 다시 채운 다음 동전 지급 장치를 끄고 다시 켠 후에 ""동전 지급 장치 다시 채움""을 눌러 주십시오 – 계산 통로 상태 화면."
ScotApp_696,696unused
ScotApp_596,NCR SelfServ Checkout AuxDisp 로드 완료.
ScotApp_1391,"'직접 문제 해결 완료'을 눌러 주십시오.\n에러가 계속 발생하면 터미널을 종료하고 다시 시작해 주십시오."
ScotApp_396,다음 사안에 대해 매장 도움이 필요합니다:
ScotApp_296,296unused
ScotApp_196,Presentation Services 로드 중...
ScotApp_1588,‘지급 장치 픽업’ 단추를 선택하려면 각 상자를 먼저 비워야 합니다.  각 동전 깔대기 상자를 비운 다음 ‘지급 장치 픽업’을 누르셔야 합니다.
ScotApp_996,가격 입력
ScotApp_896,WTINFO 로드 중...
ScotApp_574,"패스워드를 입력한 다음 '입력'을 눌러 주십시오."
ScotApp_1093,최근 보고서 인쇄
ScotApp_1641,SafePay
ScotApp_1781,시간 만료로 인한 감사 페이지
ScotApp_562,쿠폰은 도움 모드에서 판매되어야 합니다
ScotApp_874,"D.L. 또는 I.D. 번호를 입력한 다음 '입력'을 눌러 주십시오."
ScotApp_1124,1124unused
ScotApp_770,보류 확인
ScotApp_670,교육 모드 들어가기
ScotApp_570,570unused
ScotApp_470,   연령 제한
ScotApp_370,프린터 프린터 열림
ScotApp_270,쿠폰 승인
ScotApp_170,"상품을 저울에서 제거한 다음 스캐너의 '저울 영점' 단추를 눌러 주십시오."
ScotApp_1640,SafePay
ScotApp_870,경고:
ScotApp_1733,‘뒤로 이동’을 선택하면 계속 진행합니다.
ScotApp_1553,화폐량 많음 상태:
ScotApp_664,상품을 스캔하거나 언어를 선택하십시오.
ScotApp_564,564unused
ScotApp_464,%s               %s
ScotApp_364,364unused
ScotApp_264,264unused
ScotApp_964,"상품을 제거한 다음 '보안 허용'을 누르거나 '중량 승인 및 업데이트'를 눌러 주십시오."
ScotApp_864,승인:
ScotApp_1647,(mmddyyyy)
ScotApp_1119,접근 도어가 열린 상태에서는 지폐 지급 장치가 작동하지 않습니다.\n\n지급 장치 도어나 안전 도어를 닫고 고정시켜 주십시오.\n\n에러가 다시 발생하면 서비스를 요청해 주십시오.
ScotApp_1659,영수증 인쇄
ScotApp_819,무효화된 상품에 대한 보류를 확인합니다.
ScotApp_1339,전체 시스템 다시 시작
ScotApp_1582,미디어 상태
ScotApp_1154,스캐너 에러
ScotApp_1117,%s 지폐 지급 장치 카세트가 없거나 오나전히 삽입되지 않았음.\n\n%s 지폐 카세트를 설치하거나 완전히 고정될 때까지 다시 위치를 잡아 주십시오.
ScotApp_1294,파슬리
ScotApp_1030,쿠폰을 넣어 주십시오.
ScotApp_1658,고객이 올바른 거스름돈을 받았는지 확인해 주십시오.
ScotApp_1421,도움 모드
ScotApp_709,709unused
ScotApp_1129,올바른 작업이 수행되지 않았습니다.\n\n다시 시도해 주십시오.
ScotApp_509,509unused
ScotApp_409,시스템 메시지
ScotApp_309,원
ScotApp_209,프로그램 정지
ScotApp_109,계속하시겠습니까?
ScotApp_1338,대화상자 파일 얻기
ScotApp_909,보안 저울에서 부정확한 중량.
ScotApp_809,POS 메시지:
ScotApp_1645,SafePay
ScotApp_1116,지폐 차단 상자가 없거나 지폐 지급 장치가 올바른 위치에 고정되지 않으면 지폐 지급 장치가 작동하지 않습니다.\n\n지폐 차단 상자를 넣고 완전하게 고정되었는지 확인해 주십시오. 
ScotApp_1128,%s\n
ScotApp_1452,ID 입력 후 ‘입력’ 누름.
ScotApp_183,183unused
ScotApp_1450,상자 잠금
ScotApp_1293,망고
ScotApp_1644,SafePay
ScotApp_1115,오프라인 보고
ScotApp_795,보다 나은 서비스를 위해 구매 활동이 모니터링됩니다.
ScotApp_695,695unused
ScotApp_595,NCR SelfServ Checkout AuxDisp 로드 중...
ScotApp_395,제한 상품 허가되지 않음
ScotApp_295,295unused
ScotApp_195,Device Manager 로드 완료.
ScotApp_566,566unused
ScotApp_1324,거래 후 중량이\n저울에 남아 있습니다.
ScotApp_995,계산 통로로 가서 매장 모드로 로그인 한 다음 계산 통로를 열어 주십시오.
ScotApp_895,DBM 종료 중...
ScotApp_1102,다음
ScotApp_1383,(예외)
ScotApp_1402,지폐 차단 상자 점퍼 플러그가 꺼져 있습니다
ScotApp_1292,가지
ScotApp_1114,종료 보고서 기간 업데이트 성공
ScotApp_1222,서비스 제공하지 않음
ScotApp_1101,%s\t%s
ScotApp_1159,PIN 패드 / EFT 응답하지 않음.
ScotApp_1100,%s
ScotApp_1539,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1649,(ddmmyyyy)
ScotApp_1317,상품권 지불
ScotApp_1883,"장바구니 저울을 확인하고 불필요한 상품을 카드에 담은 후 '보안 해제'를 눌러 주십시오."
ScotApp_729,729unused
ScotApp_629,총 금액:
ScotApp_429,빨간색
ScotApp_329,  %ss @ %d %s/%s
ScotApp_229,229unused
ScotApp_129,무효화된 상품이 유보되었는지 확인합니다.
ScotApp_1107,%s\t%s\t수량 %s @ %s/%s\t%s
ScotApp_1538,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_929,WLDB 통신이 올바로 수행되지 않음.
ScotApp_829,829unused
ScotApp_1316,* 프린터 커버를 열고 보이는 곳에서 용지 걸림을 확인합니다.\n * 프린터 커버를 닫고 용지를 다시 넣습니다.
ScotApp_81,계속
ScotApp_1882,스마트 도움 경고 - 상품 스캔되지 않음.
ScotApp_1673,SafePay
ScotApp_1135,지폐 지급 장치 에러
ScotApp_1705,통신 에러.
ScotApp_1894,Set item aside and continue with your purchase.
ScotApp_787,"입력된 출생 날짜: %s, %d 세"
ScotApp_1398, 안내 직원 교육
ScotApp_1106,%s\t%s\t수량 %s @ %s/단일 품목 당\t%s
ScotApp_1525,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1493,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1490,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1315,* 프린터 커버를 열고 용지 걸림을 확인합니다.\n * 프린터 커버를 닫고 용지를 다시 넣습니다.
ScotApp_1881,"장바구니 저울을 확인하고 불필요한 상품을 제거한 다음 '보안 해제'를 눌러 주십시오."
ScotApp_1173,승인된 무효화 상품
ScotApp_1524,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_505,정확하지 않은 숫자
ScotApp_1302,닫기
ScotApp_905, (영수증에 상세 정보 기록...)
ScotApp_1164,프린터가 올바로 위치되어 있지 않습니다.
ScotApp_1492,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1314,* 프린터 커버를 열고 용지 부스러기를 제거합니다.\n * 커버를 닫습니다.\n * 새 용지 두루마리를 넣습니다.\n * 용지를 두루마리 위쪽부터 프린터에 넣습니다.
ScotApp_1817,* 동전 순환 장치를 꺼냅니다.\n* 둥근 형태의 도어를 열고 벨트에서 동전을 제거합니다.\n* 모든 도어가 닫혀 있고 잠궈져 있는지 확인합니다.\n* 고객에게 동전을 반환합니다. 에러가 다시 발생하면 서비스를 요청해 주십시오.
ScotApp_1442,보충을 위해 지폐를 넣거나 방출을 위해서 ‘현금 제거’를 눌러 주십시오.
ScotApp_1880,장바구니 저울에 예상하지 못한 상품.
ScotApp_1172,승인된 보류
ScotApp_1415,1415unused
ScotApp_788,유효한 출생 날짜:%s
ScotApp_688,688unused
ScotApp_588,Device Factory 로드 중...
ScotApp_488,상품을 저울에 위치시키십시오: %s
ScotApp_388,처리 중...
ScotApp_288,"'직접 문제 해결 완료'을 눌러 주십시오.\n\n만일 에러가 계속 나타난다면 터미널을 다시 시작해 주십시오:\n관리자 키 잠금 장치를 'S'로 돌리거나 관리자 단추를 눌러 주십시오.\n'전체 시스템 종료'를 선택해 주십시오.\n화면이 꺼지면 UPS나 전원 컨원에서 터미널의 전원을 차단해 주시기 바랍니다.\n그 후에 다시 터미널을 켜 주십시오. 에러가 다시 발생하면 서비스를 요청해 주십시오."
ScotApp_188,옵션 로드 중...
ScotApp_988,벨트 위 예상하지 못한 상품. 상품을 제거해 주십시오.
ScotApp_888,장바구니 영역 내에서 예상하지 못한 상품 발견.  상품을 제거해 주십시오.
ScotApp_1887,거래 내역 검토
ScotApp_1171,예상하지 못한 증가
ScotApp_1199,입력된 만료 날짜
ScotApp_1300,거래 시작
ScotApp_1326,쿠폰 삽입 타이머 시간 초과
ScotApp_1291,쿠키
ScotApp_1517,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1886,나머지 상품 확인.
ScotApp_749,749unused
ScotApp_1529,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_549,549unused
ScotApp_449,동전 수납 장치 상태 거절됨
ScotApp_349,349unused
ScotApp_249,249unused
ScotApp_149,PIN 입력
ScotApp_1307,영수증 인쇄
ScotApp_1738,장바구니 검사를 위한 안내 직원
ScotApp_949,949unused
ScotApp_717,717unused
ScotApp_617,중량 비교를 위한 설정을 선택하십시오. (기존 항목과 상품의 중량 비교.)
ScotApp_517,다른 지불 수단 요청됨.
ScotApp_417,Hard Totals 로드 완료.
ScotApp_317,317unused
ScotApp_217,217unused
ScotApp_117,상품  유보
ScotApp_1516,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1885,상품 스캔되지 않음
ScotApp_917,요청이 너무 많아서 상품을 장바구니 영역에서 제거 불가능.  최대 = %d.
ScotApp_817,도움 필요
ScotApp_1177,상품 담기 타이머 시간 초과
ScotApp_1528,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1175,역치 초과 항목을 담지 마십시오
ScotApp_1109,%s\t%s\t%s @ %s/%s\t%s
ScotApp_1453,출납 직원 패스워드
ScotApp_1693,동전 대체 금액
ScotApp_1515,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_7,7unused
ScotApp_6,6unused
ScotApp_5,5unused
ScotApp_4,4unused
ScotApp_3,3unused
ScotApp_2,kg
ScotApp_1,lb
ScotApp_1176,새 상품 입력됨
ScotApp_1724,교육 모드 거래
ScotApp_1019,벨트에 위치
ScotApp_9,9unused
ScotApp_8,8unused
ScotApp_609,중량 허용치 편집
ScotApp_1305,%s 삽입됨
ScotApp_1893,Invalid Barcode
ScotApp_1409,도움 메뉴
ScotApp_1692,SafePay
ScotApp_1163,"'직접 문제 해결 완료'을 눌러 주십시오.\n\n만일 에러가 계속 나타난다면 터미널을 다시 시작해 주십시오:\n관리자 키 잠금 장치를 'S'로 돌리거나 관리자 단추를 눌러 주십시오.\n'전체 시스템 종료'를 선택해 주십시오.\n화면이 꺼지면 UPS나 전원 컨원에서 터미널의 전원을 차단해 주시기 바랍니다.\n터미널을 켜 주십시오. 에러가 다시 발생하면 서비스를 요청해 주십시오."
ScotApp_1514,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1372,동전 수납 장치
ScotApp_1048,1048unused
ScotApp_967,967unused
ScotApp_1304,고객 카드 허용됨.
ScotApp_1162,장치가 오프라인 상태입니다.
ScotApp_1833,Exc_TB
ScotApp_1818,* 깔대기형 트레이 잠금을 해제하고 당겨서 꺼내십시오 (I).\n* 걸려 있던 동전들을 다시 적절한 깔대기형 상자에 넣어 주십시오. 그 후에 깔대기형 트레이를 다시 넣고 잠궈 주십시오.\n* 동전 재순환 장치를 당겨 꺼내십시오. 그 후에 커버 잠금을 풀고 커버를 제거합니다.\n* 그림처럼 케이블 연결을 해제합니다 (II).\n* 수납 장치의 오른쪽에 있는 빨간색 탭을 풀고 당긴 후에 그림처럼 걸림을 제거하기 위해서 뒤집어 주십시오 (III).\n* 수납 장치를 다시 넣고 케이블을 다시 연결합니다.\n* 커버를 닫고 잠궈 주십시오. 에러가 다시 발생하면 서비스를 요청해 주십시오.
ScotApp_1174,중량 불일치
ScotApp_1500,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1366,저울
ScotApp_1161,페이저 에러
ScotApp_1717,관찰된 무게:
ScotApp_1832,Exc_DEPT
ScotApp_1370,암호화 기능
ScotApp_669,서명 인쇄 실패. 에러 발생.
ScotApp_569,코드 입력
ScotApp_469,469unused
ScotApp_369,프린터 통신 에러
ScotApp_269,도움 모드
ScotApp_1507,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_969,969unused
ScotApp_737,737unused
ScotApp_637,보안이 오프라인 상태입니다. 마지막 활동이 취소되었습니다.
ScotApp_537,537unused
ScotApp_437,잔고 부족
ScotApp_337,"상품을 스캔하거나 코드를 입력한 다음 'OK'을 눌러 주십시오."
ScotApp_237,카세트가 올바른 위치에서 걸쇠에 걸릴 때까지 카세트를 삽입합니다.\n\n카세트를 잡아 당겨서 카세트가 올바르게 걸쇠에 걸리도록 합니다.
ScotApp_137,거스름돈 받기
ScotApp_931,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s 예상;LSWND3=%s %s 관찰됨;
ScotApp_1519,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1831,보간
ScotApp_937,제한\상품 제거
ScotApp_837,요금
ScotApp_1702,*** 영수증 중복 ***
ScotApp_1377,수량
ScotApp_1728,목록에서 선택하십시오.
ScotApp_1395,안내 직원 모드로 들어가기
ScotApp_716,716unused
ScotApp_616,중량 비교
ScotApp_516,다른 지불 수단
ScotApp_416,Hard Totals 로드 중...
ScotApp_316,316unused
ScotApp_216,* 프린터 케비닛 도어를 열어 주십시오.\n* 걸림을 확인하기 위해서 프린터 커버를 열어 주십시오.\n* 프린터 커버를 닫고 인쇄 용지를 다시 넣어 주십시오.\n* 웃는 얼굴이 찍힌 영수증이 인쇄되어야 합니다.\n* 프린터 케비닛 도어를 닫고 잠궈 주십시오.
ScotApp_116,모든 상품 취소
ScotApp_1522,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1506,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1879,"장바구니 저울을 확인한 다음 '보안 해제'를 눌러 주십시오."
ScotApp_916,"계산 통로에서 상품들을 확인한 다음 '보안 허용'을 눌러 주십시오."
ScotApp_816,816unused
ScotApp_1167,* 프린터 케비닛 도어를 열어 주십시오.\n* 프린터 고정을 해제하고 뒤로 밀어 주십시오.\n* 걸림이 있는지 확인하기 위해서 프린터 커버를 열어 주십시오.\n* 프린터 커버를 닫고 용지를 다시 적재해 주십시오.\n* 프린터가 올바른 위치에 걸릴 때까지 주의해서 앞으로 당겨 주십시오.
ScotApp_1518,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1830, 항목 승인됨
ScotApp_1376,", %s"
ScotApp_783,783unused
ScotApp_683,683unused
ScotApp_583,카드 거부됨.
ScotApp_483,연결된 펜을 이용해서 서명 패드에 서명을 해 주십시오.
ScotApp_383,383unused
ScotApp_283,패스워드 입력
ScotApp_1505,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_983,운반 벨트 로드 중...
ScotApp_883,보류 확인
ScotApp_1363,라인 디스플레이
ScotApp_1714,승인된 보류 거부
ScotApp_1837,"'승인'을 눌러서 거래를 계속합니다."
ScotApp_1449,지폐 상태
ScotApp_1375,상품 후처리 수정:\n%s
ScotApp_1248,선물 카드
ScotApp_1153,용지 걸림.
ScotApp_1504,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1362,키 잠금
ScotApp_1836,잘못된 바코드
ScotApp_1571,변경 내용 무시 확인
ScotApp_1215,장치 에러
ScotApp_1858,Discrepancy error occurred in the recycler.
ScotApp_1152,용지 없음.
ScotApp_1700,%s 지급 실패. %s\n동전 및 지폐 지급 장치를 점검해 주십시오.\n‘상태 수정됨’을 눌러 주십시오.
ScotApp_1823,デジタル・レシートが正しく発行されました。
ScotApp_1605,     카드 지급 장치 상자가 비어 있습니다
ScotApp_1361,현금 교환 장치
ScotApp_1835,상품 확인 또는 상품 유보
ScotApp_1878,장바구니 저울에서 부정확한 중량.
ScotApp_1281,도움 입찰
ScotApp_1425,연결
ScotApp_1570,변경 내용 무시
ScotApp_814,814unused
ScotApp_291,동전 지급 장치 튜브 걸림\n%s\n동전 지급 장치 걸림을 제거한 후에 ‘걸림 제거됨’을 눌러 주십시오.
ScotApp_191,Transaction Broker 로드 완료.
ScotApp_1151,프린터 커버가 열렸습니다.
ScotApp_1707,수납 장치에 동전이 걸렸습니다
ScotApp_1822,화면 왼쪽 아래에서 상품 중량을 확인하십시오
ScotApp_757,757unused
ScotApp_657,구매 종료 전까지 환불 및 할인 내역을 유보합니다.
ScotApp_557,수량 제한 상품
ScotApp_457,457unused
ScotApp_357,357unused
ScotApp_257,257unused
ScotApp_157,시스템 메시지
ScotApp_1360,현금 서랍
ScotApp_1719,추가된 무게:
ScotApp_1834,최대
ScotApp_1868,스캐너의 카메라 시야를 손으로 가리지 않도록 해 주십시오
ScotApp_957,DB Manager Client 통신 실패
ScotApp_857,조립 요금 확인
ScotApp_1064,1064unused
ScotApp_1577,총 카운트:
ScotApp_736,736unused
ScotApp_636,보안이 오프라인 상태입니다.
ScotApp_1091,1091unused
ScotApp_436,금액 승인
ScotApp_336,상품 찾기
ScotApp_236,236unused
ScotApp_136,현금 입금
ScotApp_1509,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1821,무게 승인
ScotApp_936,제한\담기 건너뛰기
ScotApp_836,요금 및 고객 계약 내용
ScotApp_1367,스캐너
ScotApp_1718,물품수:
ScotApp_1274,사용자 지정16
ScotApp_715,715unused
ScotApp_615,장바구니 담기에 대한 설정을 선택하십시오. (고객이 상품을 장바구니에 직접 담음.)
ScotApp_515,515unused
ScotApp_315,315unused
ScotApp_215,직불 예금
ScotApp_115,취소 승인
ScotApp_1576,지폐 지급 장치 상태:
ScotApp_1090,보고서 실행
ScotApp_815,등록 열기
ScotApp_1508,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1406,동기화 TB/POS
ScotApp_1099,알 수 없는 장치 에러
ScotApp_1563,로드
ScotApp_782,지폐 지급 장치 걸림\n지폐 지급 장치 걸림을 제거하거나\n방출 상자를 조정해 주십시오.
ScotApp_682,682unused
ScotApp_582,입찰 완료.
ScotApp_482,482unused
ScotApp_382,알 수 없음
ScotApp_282,ID 입력
ScotApp_1575,통전 지급 장치 상태:
ScotApp_1097,기록/보고서 인쇄
ScotApp_1448,동전 상태
ScotApp_982,장치 에러
ScotApp_143,영수증 서명
ScotApp_1353,다 쓴 선물 카드를 쿠폰 슬롯에 투입해 주십시오. 
ScotApp_1704,"'직접 문제 해결 완료'을 눌러 주십시오.\n\n만일 에러가 계속 나타난다면 터미널을 다시 시작해 주십시오:\n관리자 키 잠금 장치를 'S'로 돌리거나 관리자 단추를 눌러 주십시오.\n'전체 시스템 종료'를 선택해 주십시오.\n화면이 꺼지면 UPS나 전원 컨원에서 터미널의 전원을 차단해 주시기 바랍니다.\n그 후에 다시 터미널을 켜 주십시오. 에러가 다시 발생하면 서비스를 요청해 주십시오."
ScotApp_1827,\n    - 현재 언어 (%s)
ScotApp_1562,카운트
ScotApp_1815,* 잠금을 풀고 깔대기 트레이를 꺼냅니다.\n* 깔대기가 없다면 다시 삽입하고 모든 깔대기가 올바른 위치인지 확인합니다.\n* 가장 화페 단위가 낮은 깔대기가 삽입 및 올바른 위치에 설치되었는지 확인합니다.\n* 올바른 화폐 깔대기가 설치되었는지 확인합니다. 에러가 다시 발생하면 서비스를 요청해 주십시오.
ScotApp_1574,%s에 대해 입력된 값이 올바르지 않습니다.\n다시 입력해 주십시오.
ScotApp_1543,에러를 수정하려면 장치 매뉴얼을 참고하십시오.
ScotApp_1290,캐슈너트
ScotApp_1096,보고
ScotApp_1352,선물 카드 투입
ScotApp_1561,화폐 종류
ScotApp_1083,"상품을 장바구니 영역으로 반납하거나 '상품 제거됨'을 누르십시오."
ScotApp_1753,상품 찾을 수 없음
ScotApp_418,Hard Totals 종료 중...
ScotApp_318,318unused
ScotApp_1813,%s\n* 깔대기형 트레이 잠금을 해제하고 당겨서 꺼내십시오 (I).\n* 걸림이 발생한 깔대기형 상자를 제거하십시오. 출구 부분에 걸림이 발생했는지 검사하고 조처해 주십시오 (II).\n* 출구 부분에 걸림이 발생하지 않았다면 깔대기형 상자를 비워 주십시오. 디스크를 회전시켜서 걸림을 검사하고 조처해 주십시오(III).\n* 깔대기형 상자를 다시 삽입합니다.\n* 모든 도어가 닫혀 있고 적절하게 잠궈져 있는지 확인하십시오. 에러가 다시 발생하면 서비스를 요청해 주십시오.
ScotApp_1095,"보고서 유형을 선택한 다음 '보고서 실행'을 눌러 주십시오."
ScotApp_1351,%s\n%s %s 제거됨
ScotApp_1825,사용 환경 저장
ScotApp_777,777unused
ScotApp_677,677unused
ScotApp_577,현금 입찰 시작.
ScotApp_377,단위 – 상태
ScotApp_277,277unused
ScotApp_1560,투입 장치 총액 :  %s
ScotApp_1082,상품 제거됨
ScotApp_977,실제 중량: %s %s
ScotApp_877,가격 프롬프트
ScotApp_1777,매장 쿠폰 제한을 초과하는 쿠폰을 이용해서 이 거래가 마무리되었습니다.
ScotApp_1812,동전이 걸렸거나 동전 상자가 가득찼거나 없습니다 
ScotApp_756,756unused
ScotApp_556,거래 보류가 거부되었습니다.
ScotApp_456,456unused
ScotApp_356,암호화 기능
ScotApp_256,User exits 종료 중...
ScotApp_156,시스템 메시지
ScotApp_1231,시각적으로 확인됨
ScotApp_1874,1874unused
ScotApp_956,"터미널을 종료한 다음 다시 시작해 주십시오:\n* 관리자 키 잠금 장치를 'S'로 돌리거나 관리자 단추를 눌러 주십시오. \n*선택 ""다음 다시 시작 시 ADD 실행"". 선택하고 ""예""를 확인합니다.\n*'전체 시스템 종료'를 선택해 주십시오.\n*화면이 꺼지면 UPS나 전원 컨센트에서 터미널의 전원을 차단해 주시기 바랍니다.\n*다시 터미널을 켜 주십시오. 이벤트 뷰어를 확인하십시오. 에러가 다시 발생하면 서비스를 요청해 주십시오."
ScotApp_856,영수증:
ScotApp_1567,지급 장치 총합 :  %s
ScotApp_735,735unused
ScotApp_635,고객의 출생 날짜 입력
ScotApp_535,   시간 반납
ScotApp_335,카드 리더 고객 부정 행위 가능성
ScotApp_235,현금 수납 장치 상태 가득참
ScotApp_135,135unused
ScotApp_1776,매장 인증
ScotApp_1811,* 동전 재순환 장치를 꺼내 주십시오.\n* 동전을 제거하거나 동전을 앞쪽으로 밀어서 표시된 지역에서 걸림을 제거합니다.\n* 고객에게 동전을 반환합니다. 에러가 다시 발생하면 서비스를 요청해 주십시오.
ScotApp_935,중량 감소
ScotApp_835,영수증:
ScotApp_1708,동전 반환 버튼을 몇 번 눌러서 동전 걸림을 제거한 다음 ‘직접 문제 해결 완료’를 눌러 주십시오.\n\n에러가 다시 발생하면 서비스를 요청해 주십시오.
ScotApp_1168,프린터가 앞쪽 위치에 고정되지 않음.
ScotApp_1446,방출
ScotApp_1566,완전 교체
ScotApp_1080,벨트 위에 상품을 위치시키십시오.
ScotApp_1775,쿠폰 승인
ScotApp_1810,동전이 걸렸습니다.
ScotApp_1297,거스름돈 가져가기 타이머 시간 초과
ScotApp_1648,(mmddyy)
ScotApp_708,708unused
ScotApp_608,중량 비교 설정
ScotApp_508,508unused
ScotApp_408,408unused
ScotApp_308,원
ScotApp_208,208unused
ScotApp_108,일치하지 않는 쿠폰
ScotApp_781,781unused
