AmountSaved,المبلغ المدخر
ScotApp_457,457 غير مستخدمة
ScotApp_357,357 غير مستخدمة
ScotApp_257,257 غير مستخدمة
ScotApp_157,رسالة النظام
ScotApp_1360,درج النقود
ScotApp_1719,WA:
ScotApp_1834,أقصى
ScotApp_1868,تأكد من أنّ يدَيكَ خارج مرأى الكاميرا في الماسحة
ScotApp_957,فشل وكل مدير قاعدة البيانات في الاتصال
ScotApp_857,أكد رسوم التركيب
ScotApp_1064,1064 غير مستخدمة
ScotApp_1577,مجموع التعداد:
ScotApp_736,736 غير مستخدمة
ScotApp_636,الأمان غير متصل.
ScotApp_1091,1091 غير مستخدمة
ScotApp_436,تأكيد المبلغ
ScotApp_336,ابحث عن سلعة
ScotApp_236,236 غير مستخدمة
ScotApp_136,أدخل النقود
ScotApp_1509,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1821,تقبّل الوزن
ScotApp_936,الحد من/تخطي التعبئة في الأكياس
ScotApp_836,الرسوم & اتفاقيات العميل
ScotApp_1367,الماسحة الضوئية
ScotApp_1718,NOI:
ScotApp_1274,محدد من قبل المستخدم16
ScotApp_715,715 غير مستخدمة
ScotApp_615,اختر إعدادات فرض التعبئة في أكياس. (يتوقع من العميل أن يعبئ السلع في أكياس.)
ScotApp_515,515 غير مستخدمة
ScotApp_315,315 غير مستخدمة
ScotApp_215,حفظ الخصم
ScotApp_115,تأكيد الإلغاء
ScotApp_1576,حالة صراف النقود:
ScotApp_1090,تشغيل التقرير
ScotApp_815,افتح السجل
ScotApp_1508,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1406,مزانة TB/POS
ScotApp_1099,خطأ غير معروف في الآلة
ScotApp_1563,تحميل
ScotApp_782,انسداد في صراف الأوراق\nأزل انسداد صراف الأوراق أو\nعدل صندوق النفايات.
ScotApp_682,682 غير مستخدمة
ScotApp_582,تم العرض.
ScotApp_482,482 غير مستخدمة
ScotApp_382,غير معروف
ScotApp_282,أدخل الهوية
ScotApp_1575,حالة صراف النقود المعدنية:
ScotApp_1097,طباعة السجلات / التقارير
ScotApp_1448,حالة النقود المعدنية
ScotApp_982,خطأ في الآلة
ScotApp_143,التوقيع على الوصل
ScotApp_1353,نرجو إدخال بطاقة الهدية المستهلكة في منفذ القسائم.
ScotApp_1704,"المس ""حللت المشكلة"".\n\nإذا بقي الخطأ، أعد تشغيل الآلة:\nأدر قفل المشرف إلى 'S' أو اضغط على زر المشرف.\nاختر ""وقف تشغيل النظام بالكامل"".\nعندما تصبح الشاشة فارغة، أطفئ الآلة من منفذ الكهرباء أو سلك الكهرباء.\nشغل الآلة. إذا حدث الخطأ مجددا، اطلب الصيانة."
ScotApp_1827,\n    - اللغة الحالية (%s)
ScotApp_1562,التعداد
ScotApp_1815,*فك واسحب طبق الملقّم إلى الخارج.\n* أعد إدخال أي ملقّم (ملقّمات) مفقودة وتأكد من أن جميع الملقّمات مثبتة في مكانها.\n* تأكد من أن ملقّم فئات القطع النقدية السفلي مثبت وفي مكانه الصحيح.\n* تأكد من إدخال ملقّمات العملات بالشكل الصحيح. إذا تكرر الخطأ، اتصل بالصيانة.
ScotApp_1574,القيمة التي تم إدخالها لـ%s غير صحيحة. \nنرجو الإدخال مجددا.
ScotApp_1543,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1290,د - ي
ScotApp_1096,إعداد التقارير
ScotApp_1352,إيداع بطاقة الهدية
ScotApp_1561,الفئة
ScotApp_1083,تمت إزالة السلعة من منطقة التعبئة في الأكياس.\nأعد السلعة.
ScotApp_1753,لم يتم العثور على السلعة
ScotApp_418,يجري إنهاء المجاميع...
ScotApp_318,318 غير مستخدمة
ScotApp_1813,%s\n* فك طبق الملقّم واسحبه إلى الخارج.(I).\n* انزع علبة (علب) الملقّم العالقة.  ابحث عن أي انسداد في منطقة الخروج وأزله (II).\n* إن لم تجد انسداداً في منطقة الخروج، أفرغ علبة (علب) الملقّم. ابحث عن أي انسداد وأزله بتدوير القرص (III).\n* أعد إدخال علبة (علب) الملقّم. \n* تأكد من إغلاق جميع الأبواب وإقفالها بإحكام. إذا تكرر الخطأ، اتصل بالصيانة.
ScotApp_1095,"اختر نوع التقرير ثم المس ""تشغيل التقرير""."
ScotApp_1351,تمت إزالة%s\n%s %s   
ScotApp_1825,احفظ الاختيارات المفضّلة
ScotApp_777,777 غير مستخدمة
ScotApp_677,677 غير مستخدمة
ScotApp_577,بداية العرض النقدي.
ScotApp_377,الوحدات - الحالة
ScotApp_277,277 غير مستخدمة
ScotApp_1560,مجموع المتلقي:  %s
ScotApp_1082,أزلت السلعة أو الكيس
ScotApp_977,الوزن الفعلي: %s %s
ScotApp_877,التنبيه على السعر
ScotApp_1777,تمت العملية باستخدام القسيمة التي تتجاوز حد القسائم في المتجر.
ScotApp_1812,القطع النقدية عالقة أو أوعية القطع النقدية ممتلئة أو غير موجودة.
ScotApp_756,756 غير مستخدمة
ScotApp_556,تم رفض تعليق العملية.
ScotApp_456,456 غير مستخدمة
ScotApp_356,المشفر
ScotApp_256,إنهاء خروج المستخدم...
ScotApp_156,رسالة النظام
ScotApp_1231,موثق بصريا
ScotApp_1874,1874unused
ScotApp_956,فشل في طلب الميزان الذكي
ScotApp_856,الوصل:
ScotApp_1567,مجموع الصراف:  %s
ScotApp_735,735 غير مستخدمة
ScotApp_635,أدخل تاريخ الميلاد
ScotApp_535,      إلغاء الوقت
ScotApp_335,احتمال عبث عملاء بقارئ البطاقات
ScotApp_235,متلقي النقود قريب من الامتلاء
ScotApp_135,135 غير مستخدمة
ScotApp_1776,تفويض المتجر
ScotApp_1811,* اسحب جهاز تدوير القطع النقدية إلى الخارج.\n* أزل الانسداد من المنطقة المبيّنة بنزع القطع النقدية أو دفعها إلى الأمام.\n* أعد القطع النقدية إلى العميل. إذا تكرر الخطأ، اتصل بالصيانة.
ScotApp_935,نقص في الوزن
ScotApp_835,الوصل:
ScotApp_1708,"اضغط على زر إعادة القطع النقدية عدة مرات لإزالة الانسداد، ثم المس ""حللت المشكلة"". \n\nإذا تكرر الخطأ، اطلب الصيانة."
ScotApp_1168,الطابعة غير مثبتة في وضعها إلى الأمام.
ScotApp_1446,تفريغ
ScotApp_1566,استبدال بالكامل
ScotApp_1080,ضع السلعة على الحزام.
ScotApp_1775,الموافقة على القسائم
ScotApp_1810,القطع النقدية عالقة.
ScotApp_1297,انتهى وقت أخذ الباقي
ScotApp_1648,(الشهر اليوم السنة)
ScotApp_708,708 غير مستخدمة
ScotApp_608,ضبط مقارنة الأوزان
ScotApp_508,508 غير مستخدمة
ScotApp_408,408 غير مستخدمة
ScotApp_308,سنت
ScotApp_208,208 غير مستخدمة
ScotApp_108,قسيمة غير مطابقة
ScotApp_781,781 غير مستخدمة
ScotApp_681,اختر من المفضلة
ScotApp_581,تم رفض تعليق العملية.
ScotApp_481,المساعدة مطلوبة
ScotApp_381,عادي
ScotApp_908,الأمان
ScotApp_521,المبلغ المردود:
ScotApp_1087,تم قبول البطاقة. امسح قسائمك وسلعك.
ScotApp_981,981 غير مستخدمة
ScotApp_881,تعليق:
ScotApp_1774,القسيمة مرتفعة جدا
ScotApp_1296,أعد تعبئة جميع حاويات النقود المعدنية إلى مستويات أفضل خدمة.
ScotApp_1583,العملة منخفضة (%s)
ScotApp_1552,الصندوق ممتلئ
ScotApp_1295,ر - ن
ScotApp_1877,تنبيه سرقة
ScotApp_1761,قد يكون صندوق القسائم ممتلئا أو منفذ القسائم مسدودا. أزل أية أشياء تسد منفذ القسائم ثم أفرغ صندوق القسائم.
ScotApp_1086,"""""عدم إضافة وزن"" تحذف جميع قيود الوزن."
ScotApp_693,693 غير مستخدمة
ScotApp_794,انسداد في علبة صراف الأوراق\nأزل انسداد صراف الأوراق.
ScotApp_694,694 غير مستخدمة
ScotApp_594,تم تحميل NCR SelfServ Checkout SigCap.
ScotApp_494,اختر المبلغ النقدي المسترد من القائمة.
ScotApp_394,394 غير مستخدمة
ScotApp_1098,* افتح باب خزانة الطابعة. \n* تأكد من عدم وجود انسداد في المنطقة المبينة. \n* إن لم تجد انسدادا، أعد تحميل الورق. \n* تتم عندها طباعة وصل يحمل وجها مبتسما. \n* أغلق وأقفل باب خزانة الطابعة.
ScotApp_1551,العملة مرتفعة (%s)
ScotApp_994,مغلق
ScotApp_894,تم تحميل DBM.
ScotApp_1760,قد يكون صندوق القسائم ممتلئا أو منفذ القسائم مسدودا. أزل أية أشياء تسد منفذ القسائم ثم أفرغ صندوق القسائم.
ScotApp_1371,متلقي النقود
ScotApp_1803,قبول النقد فقط
ScotApp_1359,طابعة القسائم
ScotApp_1085,جمع القسائم
ScotApp_21,21 غير مستخدمة
ScotApp_776,776 غير مستخدمة
ScotApp_676,صراف النقود المعدنية. تمت تعبئته في %s في %s.
ScotApp_1491,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_476,إسقاط القسيمة
ScotApp_376,376 غير مستخدمة
ScotApp_276,276 غير مستخدمة
ScotApp_176,\nهل تريد التوقف وإلغاء عملية الشراء كلها؟
ScotApp_976,976 غير مستخدمة
ScotApp_876,"اطبع هوية المحاسب الرئيسي والمس ""إدخال""."
ScotApp_1271,محدد من قبل المستخدم13
ScotApp_1767,فشل في الدخول إلى معايير الوزن في الميزان.
ScotApp_755,تجري المعالجة...
ScotApp_655,سلعة مستثناة
ScotApp_1084,الجمع
ScotApp_455,455 غير مستخدمة
ScotApp_355,اختر وظيفة النظام
ScotApp_255,255 غير مستخدمة
ScotApp_155,رسالة النظام
ScotApp_1011,يجري النقل...
ScotApp_869,"اطبع # التخويل والمس ""إدخال""."
ScotApp_955,فشل في تفعيل الميزان الذكي
ScotApp_855,رسوم التركيب:
ScotApp_23,+ %s (%s)
ScotApp_1766,خطأ في الماسحة الضوئية/الميزان.
ScotApp_1280,نقد
ScotApp_1335,الممر مغلق
ScotApp_1497,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_728,728 غير مستخدمة
ScotApp_628,الممر#: %d
ScotApp_528,528 غير مستخدمة
ScotApp_428,أصفر
ScotApp_328,"فشل في صرف %s للعميل. \n*افحص صراف النقود المعدنية والنقود الورقية.\n* إذا كانا فارغين أعد ملأهما.\n* إن لم يكونا فارغين أزل الانسداد.\n* المس ""حللت المشكلة""."
ScotApp_228,غالق قارئ البطاقات مسدود
ScotApp_128,128 غير مستخدمة
ScotApp_1690,نرجو طلب الصيانة
ScotApp_281,281 غير مستخدمة
ScotApp_181,"\nاستخدم لوحة المفاتيح لإدخال قيمة القسيمة بالريال والمس ""OK""."
ScotApp_928,اذهب إلى الممر وافحص الآلة.
ScotApp_828,828 غير مستخدمة
ScotApp_1033,"عطل السلعة أو انزع البطاقة الصلبة والمس ""مسح أمني""."
ScotApp_1496,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_680,680 غير مستخدمة
ScotApp_580,تمت محاولة إلغاء السلعة قبل إلغاء قسيمتها.
ScotApp_380,380 غير مستخدمة
ScotApp_280,مسح سجل الأمن
ScotApp_180,ضع القسائم جانبا في الوقت الحالي. \nأودعها في نهاية عملية الشراء.
ScotApp_1364,التعرف على الحروف المكتوبة بحبر مغناطيسي
ScotApp_980,انتهى الوقت دون استجابة من العميل
ScotApp_880,880 غير مستخدمة
ScotApp_970,970 غير مستخدمة
ScotApp_1104,0.01 lb الأقصى 30.00 lb الأدنى 0.2 lb أقصى عدد 3000
ScotApp_1032,ما زالت البطاقة الأمنية على السلعة نشطة.
ScotApp_1286,العربية
ScotApp_1462,الصناديق
ScotApp_1298,وظائف بمساعدة المشغل
ScotApp_1031,امسح قسائمك
ScotApp_1482,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1706,"الآلة غير جاهزة. أغلق أية تطبيقات أخرى يمكن أن تدخل إلى الآلة والمس ""حللت المشكلة"".  إذا حدث الخطأ مجددا، اتصل بـGunnebo للصيانة."
ScotApp_1399,  الحاضر
ScotApp_1494,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1672,خطأ في جهاز إعادة تدوير النقود المعدنية
ScotApp_573,"اطبع هوية المستخدم والمس ""إدخال"""
ScotApp_173,173 غير مستخدمة
ScotApp_775,أهلاً بكم في نظام NCR SelfServ Checkout!
ScotApp_675,تمت إعادة تعبئة صراف النقود المعدنية
ScotApp_1481,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_79,79 غير مستخدمة
ScotApp_69,69 غير مستخدمة
ScotApp_59,حاول مرة أخرى
ScotApp_39,إلغاء العملية
ScotApp_29,سلع خاضعة لقيود
ScotApp_19,الضريبة
ScotApp_975,975 غير مستخدمة
ScotApp_603,تعديل/إضافة قيد وزن
ScotApp_99,الكمية المراد إلغاؤها
ScotApp_89,89 غير مستخدمة
ScotApp_303,إلغاء السلع
ScotApp_203,203 غير مستخدمة
ScotApp_103,أدخل رمز السلعة
ScotApp_1889,مستوى الثقة الأمنيّ
ScotApp_1443,"أدخل النقود المعدنية للتعبئة أو المس ""أزل النقود"" للتفريغ."
ScotApp_903,تمت إزالة السلعة من منطقة التعبئة في الأكياس.
ScotApp_803,803 غير مستخدمة
ScotApp_1555,الصراف
ScotApp_1037,الإمضاء
ScotApp_1480,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1263,محدد من قبل المستخدم5
ScotApp_1697,تمت إزالة الانسداد
ScotApp_748,748 غير مستخدمة
ScotApp_648,كود المنتج العالمي
ScotApp_548,548 غير مستخدمة
ScotApp_448,تم تفعيل حساب الزبون المتكرر الخاص بك.
ScotApp_348,348 غير مستخدمة
ScotApp_248,248 غير مستخدمة
ScotApp_148,148 غير مستخدمة
ScotApp_1479,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_948,\n* المساعدة عن بعد
ScotApp_848,الكمية المطلوبة:
ScotApp_485,التوقيع مطلوب
ScotApp_1036,البطاقة الأمنية على السلعة نشطة
ScotApp_1487,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1499,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1023,1023 غير مستخدمة
ScotApp_1179,انتهى وقت الابتعاد
ScotApp_1035,البطاقة الأمنية على السلعة نشطة
ScotApp_1682,خطأ في وحدة قارئ الأوراق النقدية العام
ScotApp_1486,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1144,الصراف لا يستجيب.
ScotApp_866,نعم
ScotApp_1498,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1384,اللغة
ScotApp_1743,"أدخل هوية المستخدم الخاصة بك والمس ""إدخال""، أو ضع إصبعك على قارئ بصمة الإصبع لتسجيل الدخول."
ScotApp_1319,كوبون
ScotApp_1178,تمت إزالة تجاوز الحد
ScotApp_1001,لم يتم العثور على السلعة
ScotApp_1034,1034 غير مستخدمة
ScotApp_1485,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1068,1068 غير مستخدمة
ScotApp_1694,"تم استخدام الاستبدال لأن %sالمس ""حالة الورق/النقود"" لإعادة التعبئة أو أزل الانسداد."
ScotApp_1165,اسحب الطابعة برفق إلى الأمام حتى تثبت في مكانها. \n\nأغلق وأقفل باب خزانة الطابعة.
ScotApp_1021,الانتباه
ScotApp_1230,قسم الرفض
ScotApp_1484,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_912,موافقة & تحديث الوزن
ScotApp_723,723 غير مستخدمة
ScotApp_623,"أدخل التحمل باستخدام لوحة المفاتيح و المس ""إدخال""."
ScotApp_523,تم رفض البطاقة
ScotApp_423,أدخل البطاقة. نرجو البحث في السلة عن سلع إضافية.
ScotApp_323,    الكمية %d بسعر %d/%s
ScotApp_223,صندوق الالتقاط في قارئ البطاقات ممتلئ
ScotApp_123,123 غير مستخدمة
ScotApp_1020,امسح السلع
ScotApp_923,923 غير مستخدمة
ScotApp_823,الموافقة على الملغاة
ScotApp_1483,نرجو الرجوع إلى دليل الآلة لإصلاح الخطأ.
ScotApp_1237,القسيمة
ScotApp_1680,خطأ لا يمكن إصلاحه.  نرجو إغلاق الممر.  اتصل بـGunnebo وقدم لهم معلومات الخطأ المبينة أدناه.\n\n خطأ في SafePay: %s
ScotApp_702,702 غير مستخدمة
ScotApp_602,تعديل/إضافة \nقيد وزن
ScotApp_502,نرجو وضع السلعة الملغاة جانبا.
ScotApp_402,غير موجود
ScotApp_302,نرجو إدخال رقمك السري على جهاز الدفع.
ScotApp_202,يجري اختبار تسجيل الخروج...
ScotApp_102,سلعة مستردة
ScotApp_1722,الممر في وضعية التدريب، هل تريد متابعة العملية؟
ScotApp_902,تمت إزالة السلعة من منطقة التعبئة في الأكياس.  أعد السلعة.
ScotApp_802,"\nهل تريد شراء صندوق كامل \n من %s؟ \n\n اختر ""نعم"" أو ""لا"".  "
ScotApp_568,مسح
ScotApp_468,      مستردة
ScotApp_368,انسداد في مكان تحميل ورق الطابعة
ScotApp_268,خطأ في قراءة البطاقة
ScotApp_1027,"المس ""نعم"" لإلغاء العملية أو المس ""لا"" لاستئناف العملية."
ScotApp_1354,خذ بطاقة الهدية
ScotApp_968,968 غير مستخدمة
ScotApp_868,إدخال رقم التخويل:
ScotApp_1433,الميزان في الكيس.
ScotApp_1687,"استخدم شاشة ""حالة النقد/الورق"" لتحميل النقد."
ScotApp_1150,باب خزانة الطابعة مفتوح.
ScotApp_1699,"تم استخدام الاستبدال لأن %sأعد التعبئة أو أزل الانسداد، ثم المس ""تم تصحيح الحالة""."
ScotApp_1259,محدد من قبل المستخدم 1
ScotApp_1223,نقص في النقد / الورق
ScotApp_1379,سعر الوحدة
ScotApp_1432,<<<مستوى الأوراق النقدية منخفض. نرجو إعادة التعبئة.>>>
ScotApp_1686,خطأ لا يمكن إصلاحه.  نرجو إغلاق الممر.  اتصل بـGunnebo وقدم لهم معلومات الخطأ المبينة أدناه.\n\n خطأ في SafePay: %s
ScotApp_1157,قد يكون باب صراف الأوراق مفتوحا. \n\nلن يعمل صراف الأوراق وباب الدخول مفتوح. \n\nأغلق وأقفل باب الصراف أو باب الخزنة.
ScotApp_1013,سلع متراكمة
ScotApp_1184,بيانات أخرى
ScotApp_1848,"السلعة أضيفت. امسح السلعة التالية أو المس ""إدخال الرمز""."
ScotApp_1169,افتح باب خزانة الطابعة. \n* اسحب الطابعة برفق إلى الأمام حتى تثبت في مكانها. \n\nأغلق وأقفل باب خزانة الطابعة.
ScotApp_1662,وصولا أخرى
ScotApp_1311,* أزل متلقي الأوراق النقدية. \n* افتح وحدة المتلقي. \n* تأكد من عدم وجود أوراق عالقة ثم استبدل الوحدة. \n* تأكد من تشغيل محرك متلقي الأوراق النقدية ومن أن مصباح المؤشر أخضر.
ScotApp_1025,أزل جميع السلع عن الحزام وأغلق الغطاء الأمني.
ScotApp_1378,الوزن
ScotApp_22,لا\nيوجد\nباقي\n+ 0          \n(%s)
ScotApp_1234,الكمية خاضعة لقيود
ScotApp_1685,خطأ في وحدة النقود المعدنية العامة
ScotApp_1156,تأكد من أن مفتاح تشغيل صراف النقود المعدنية في وضعية التشغيل.
ScotApp_1012,يتم نقل سلعتك.
ScotApp_1365,MSR
ScotApp_1235,البطاقة الأمنية على السلعة نشطة
ScotApp_1221,AUDACTION
ScotApp_1143,مستوى النقود المعدنية منخفض أو حاوية القطع النقدية غير موجودة.
ScotApp_434,نوع الفائدة
ScotApp_1625,"أدخل النقود المعدنية للتعبئة أو المس ""أزل النقود"" للتفريغ."
ScotApp_1430,سلعة ملغاة
ScotApp_1684,خطأ في جهاز إعادة تدوير النقود المعدنية
ScotApp_1155,الآلة مفصولة.
ScotApp_834,الرسوم && اتفاقيات العميل:
ScotApp_799,افحص السلة
ScotApp_699,سلعة غير قابلة للبيع
ScotApp_599,إعادة ضبط آلة الأشكال...
ScotApp_499,499 غير مستخدمة
ScotApp_399,399 غير مستخدمة
ScotApp_299,299 غير مستخدمة
ScotApp_199,تم تحميل مخارج المستخدم.
ScotApp_743,743 غير مستخدمة
ScotApp_643,تم حذف سلعة. امسح السلعة التالية.
ScotApp_543,لا يمكن أن تكون هوية المشغل أكثر من %d خانات.
ScotApp_343,343 غير مستخدمة
ScotApp_243,بطاقة غير صحيحة في قارئ البطاقات
ScotApp_999,تم تجاوز الحد
ScotApp_899,الموافقة على الملغاة لـ
ScotApp_1220,EFT
ScotApp_1142,خطأ في صراف النقود المعدنية.
ScotApp_943,أستخدم كيسي الخاص
ScotApp_843,843 غير مستخدمة
ScotApp_1437,"""تم تجاوز حد ""إزالة السلع"""
ScotApp_1601,          صندوق صراف البطاقات منخفض
ScotApp_722,722 غير مستخدمة
ScotApp_622,اطبع التحمل لكود المنتج العالمي
ScotApp_522,الرقم السري غير صحيح
ScotApp_422,422 غير مستخدمة
ScotApp_322,322 غير مستخدمة
ScotApp_222,"تتابع طلبات الطباعة: افحص الطابعة أو شاشة العمليات للتأكد من عدم وجود أخطاء، لم المس ""حللت المشكلة""."
ScotApp_122,122 غير مستخدمة
ScotApp_1010,1010 غير مستخدمة
ScotApp_922,922 غير مستخدمة
ScotApp_822,الموافقة على السلعة الملغاة
ScotApp_1715,الموافقة على رفض التعليق
ScotApp_1227,سلعة خاضعة لقيود
ScotApp_701,701 غير مستخدمة
ScotApp_601,601 غير مستخدمة
ScotApp_401,أدخل البطاقة. نرجو البحث في السلة عن سلع إضافية.
ScotApp_301,أدخل قيمة القسيمة
ScotApp_201,يجري اختبار تسجيل الدخول...
ScotApp_101,السعر غير معروف
ScotApp_1633,خطأ في جهاز إعادة تدوير الأوراق النقدية
ScotApp_901,الموافقة على تخطي التعبئة في أكياس.
ScotApp_801,صندوق شراء
ScotApp_1824, لم يتم توليد الوصل الإلكتروني.
ScotApp_1328,الوزن مضاعف
ScotApp_1299,ابدأ العملية وأدخل وضعية المساعدة
ScotApp_1226,سلعة مستردة
ScotApp_1140,انسداد في صراف الأوراق النقدية.
ScotApp_1579,متلقي الأوراق النقدية
ScotApp_1426,%s\nهل%d صحيح؟
ScotApp_1632,انزع غطاء الأوراق النقدية. افحص سلك توصيل جهاز توثيق الأوراق النقدية وجرب مجددا.  إذا حدث الخطأ مجددا، اطلب الصيانة.\n\nخطأ في SafePay: %s
ScotApp_1141,فشل في صرف %s. تحذير: قد تكون هناك أوراق عالقة في أعلى صراف الأوراق النقدية.
ScotApp_1791,نقد فقط
ScotApp_1357,خذ بطاقة الهدية
ScotApp_763,763 غير مستخدمة
ScotApp_714,714 غير مستخدمة
ScotApp_614,فرض التعبئة في أكياس
ScotApp_514,514 غير مستخدمة
ScotApp_314,مشكلة في الصندوق
ScotApp_214,فحص الخصم
ScotApp_114,تعذر إلغاء السلعة
ScotApp_1369,متفرقة
ScotApp_78,صراف آلي (لا يوجد نقود)
ScotApp_1630,خطأ في جهاز إعادة تدوير الأوراق النقدية
ScotApp_58,OK
ScotApp_48,48 غير مستخدمة
ScotApp_914,"اذهب إلى الممر وأزل السلع الإضافية والمس ""مسح أمني""."
ScotApp_1422,الماسحة الضوئية المحمولة
ScotApp_18,المجموع
ScotApp_1147,خطأ في ميزان منطقة التعبئة في الأكياس
ScotApp_1578,مجموع القيمة:
ScotApp_1022,لا أريد \nتعبئة هذه السلعة في كيس
ScotApp_98,98 غير مستخدمة
ScotApp_88,88 غير مستخدمة
ScotApp_1003,خاضع لقيود زمنية
ScotApp_1434,مقيدة بالعمر
ScotApp_1356,جمع
ScotApp_1212,غير ذلك
ScotApp_1455,رقم غير صحيح
ScotApp_1713,المس الموافقة على رفض التعليق
ScotApp_1565,أدخل قيمة التحميل لـ%s
ScotApp_194,تحميل مدير الأجهزة جار...
ScotApp_1275,محدد من قبل المستخدم17
ScotApp_1146,المتلقي لا يستجيب.
ScotApp_1303,تم قبول بطاقة الولاء: #%s
ScotApp_70,70 غير مستخدمة
ScotApp_60,طلب المساعدة
ScotApp_50,50 غير مستخدمة
ScotApp_40,تفويض المتجر
ScotApp_30,سلع ملغاة
ScotApp_20,20 غير مستخدمة
ScotApp_10,10 غير مستخدمة
ScotApp_1779,لا يمكن إلغاء السلعة إلا بعد إلغاء قسيمتها. ألغ قسيمة السلعة أولا.
ScotApp_1211,التلقائي
ScotApp_90,90 غير مستخدمة
ScotApp_80,80 غير مستخدمة
ScotApp_663,فشل في إدخال الرقم السري
ScotApp_463,يجري إنهاء الموافقة عن بعد...
ScotApp_363,\nاستخدم لوحة المفاتيح لإدخال كلمة مرور المشغل.
ScotApp_163,163 غير مستخدمة
ScotApp_1420,هل تريد إلغاء السلعة \n%s؟
ScotApp_1145,خطأ في متلقي النقود المعدنية
ScotApp_963,إلغاء الطلب
ScotApp_863,إدخال قيمة القسيمة
ScotApp_1816,القطع النقدية عالقة أو الباب مفتوح.
ScotApp_1637,مشكلة في السلك
ScotApp_742,742 غير مستخدمة
ScotApp_642,تمت إضافة سلعة. امسح السلعة التالية.
ScotApp_542,تعذر إنشاء باركود المشغل.
ScotApp_342,اطبع الوصف
ScotApp_242,انسداد في قارئ البطاقات
ScotApp_142,تأكيد المبلغ
ScotApp_1210,المشهد الأخير
ScotApp_942,942 غير مستخدمة
ScotApp_842,842 غير مستخدمة
ScotApp_1044,عطاء تلقى المساعدة من المشغل
ScotApp_1427,تغيير كمية السلعة: \n%s
ScotApp_721,721 غير مستخدمة
ScotApp_621,تلقائي
ScotApp_1341,التحكم بارتفاع الصوت
ScotApp_421,"امسح سلعك، أو المس ""بداية"" لتبدأ."
ScotApp_321,تأكيد العملية
ScotApp_221,أقفل وأغلق باب خزانة الطابعة.
ScotApp_121,السلع من نقطة البيع هذه.
ScotApp_1636,خطأ في جهاز إعادة تدوير النقود المعدنية
ScotApp_921,وزن متوقع على الميزان الأمني.
ScotApp_821,821 غير مستخدمة
ScotApp_600,الصيانة الأمنية
ScotApp_500,500 غير مستخدمة
ScotApp_400,400 غير مستخدمة
ScotApp_1368,Sigcap
ScotApp_200,يجري اختبار وسيط العملية...
ScotApp_100,الكمية المطلوبة
ScotApp_1076,الانتباه
ScotApp_1623,انقل الأوراق النقدية إلى العلبة لاستلامها
ScotApp_1340,إيقاف تشغيل النظام بالكامل
ScotApp_1108,%s\t%s\t%s بسعر  %s %s/%s\t%s
ScotApp_1814,علبة الملقّم خارج مكانها أو غير مثبتة.	
ScotApp_1758,خطأ في صندوق القسائم
ScotApp_1635,افحص سلك توصيل جهاز إعادة تدوير الأوراق النقدية وجرب مجددا.   إذا حدث الخطأ مجددا، اطلب الصيانة.\n\nخطأ في SafePay: %s
ScotApp_1557,استلام الصراف
ScotApp_734,734 غير مستخدمة
ScotApp_634,634 غير مستخدمة
ScotApp_534,سلع محدودة بقيود زمنية
ScotApp_1413,نرجو إتمام عمليتك في الدقائق الـ# التالية.  قد يحدث انقطاع في الطاقة قريبا.
ScotApp_334,خطأ عدم وجود بطاقة في قارئ البطاقات
ScotApp_234,انزع علبة الأوراق النقدية.\n\nانزع الأوراق النقدية من العلبة.\n\nأعد إدخال العلبة حتى تثبت في مكانها. \n\nاسحب مقبض العلبة لضمان تثبيت العلبة في مكانها.
ScotApp_1569,القيمة
ScotApp_1801,وضعية التشغيل
ScotApp_934,زيادة في الوزن
ScotApp_1622,علبة
ScotApp_768,تعليق التأكيد
ScotApp_668,تمت طباعة التوقيع بنجاح.
ScotApp_1347,محاولة إعادة الاتصال
ScotApp_1778,مسح الأمان
ScotApp_168,امسح قسائمك وضعها جانبا حتى نهاية عملية الشراء.
ScotApp_1203,وثيقة تم إقرارها
ScotApp_1634,مشكلة في السلك
ScotApp_1556,استلام المتلقي
ScotApp_1412,وظائف المساعد
ScotApp_1783,غطاء الأمان مفتوح
