AmountSaved,节省金额
ScotApp_1164,打印机位置不正确。
ScotApp_1492,请参阅设备手册纠正该错误。
ScotApp_1314,* 打开打印机盖并清除可能存在的纸张碎片。\n* 关闭打印机盖。\n* 插入新的卷筒纸。\n* 把卷筒纸头送入打印机。
ScotApp_1817,* 请拉出硬币收款找赎机。\n* 打开圆形侧门，清除安全带上的硬币。\n* 关好并锁好所有门。 若错误再次出现，请联系维修人员。
ScotApp_1442,插入补充的现金，或按“取出现金”按钮来卸下现金。
ScotApp_1880,钩秤上有意外商品。
ScotApp_1172,确认暂停
ScotApp_1415,1415unused
ScotApp_788,有效生日：%s
ScotApp_688,688unused
ScotApp_588,正在载入Device Factory...
ScotApp_488,把商品放到秤上： %s
ScotApp_388,正在处理...
ScotApp_288,"按“我已解决该问题”按钮。\n* 若错误仍然存在，请重新启动终端：\n* 把管理员键盘锁转到'S'位置，或按管理员按钮。\n* 选择“关闭整个系统”选项\n当画面为空白时，请通过UPS不间断电源或电源板关断终端电源。\n* 开启终端。若错误再次出现，请呼叫服务人员。"
ScotApp_188,正在载入选项...
ScotApp_988,接取带上有意外商品。请移开该商品。
ScotApp_888,装袋台的意外商品。移开商品。
ScotApp_1887,检查交易
ScotApp_1171,意外增加
ScotApp_1199,输入到期日期
ScotApp_1300,开始交易
ScotApp_1326,优惠券插入时间的计时器超时
ScotApp_1291,K - M
ScotApp_1517,请参阅设备手册纠正该错误。
ScotApp_1886,检查是否有多出的商品。
ScotApp_749,749unused
ScotApp_1529,请参阅设备手册纠正该错误。
ScotApp_549,549unused
ScotApp_449,硬币收受器的状态为拒收
ScotApp_349,349unused
ScotApp_249,249unused
ScotApp_149,输入密码
ScotApp_1307,正在打印收据
ScotApp_1738,服务员来验证您的袋子
ScotApp_949,949unused
ScotApp_717,717unused
ScotApp_617,选择进行重量比较。 （把商品重量与现有输入项做比较）
ScotApp_517,其它必要付款
ScotApp_417,已载入Hard Totals。
ScotApp_317,317unused
ScotApp_217,217unused
ScotApp_117,把商品放到一旁
ScotApp_1516,请参阅设备手册纠正该错误。
ScotApp_1885,商品未被扫描
ScotApp_917,请求移开装袋台上商品的次数过多。最多可请求%d次。
ScotApp_817,需要协助
ScotApp_1177,商品装袋计时器超时
ScotApp_1528,请参阅设备手册纠正该错误。
ScotApp_1175,要求不装袋的次数超过限定次数
ScotApp_1109,%s\t%s\t%s @ %s/%s\t%s
ScotApp_1453,收银员密码
ScotApp_1693,硬币替换
ScotApp_1515,请参阅设备手册纠正该错误。
ScotApp_7,7unused
ScotApp_6,6unused
ScotApp_5,5unused
ScotApp_4,4unused
ScotApp_3,3unused
ScotApp_2,公斤
ScotApp_1,磅
ScotApp_1176,输入新商品
ScotApp_1724,培训模式交易
ScotApp_1019,放到传送带
ScotApp_9,9unused
ScotApp_8,8unused
ScotApp_609,修改重量允许误差
ScotApp_1305,已插入%s
ScotApp_1893,Invalid Barcode
ScotApp_1409,帮助菜单
ScotApp_1692,管理员登录
ScotApp_1163,"请按“我已解决该问题”按钮。\n\n若错误仍然存在，请重新启动终端：\n把管理员键盘锁转到'S’，或按管理员按钮。\n选择“关闭整个系统”按钮\n当画面变成空白时，在UPS或电源板处切断终端的电源。\n开启终端。若错误再次发生，请呼叫服务。"
ScotApp_1514,请参阅设备手册纠正该错误。
ScotApp_1372,硬币收受器
ScotApp_1048,1048unused
ScotApp_967,967unused
ScotApp_1304,已接受会员优惠卡。
ScotApp_1162,设备离线。
ScotApp_1833,Exc_TB
ScotApp_1818,* 解开料斗托盘的锁定，然后拉出料斗托盘以清除堵塞(I)。\n* 把堵塞的硬币装回相应的料斗箱。 然后重新插入料斗托盘并锁好。\n* 拉出硬币收款找零机。 开锁后取下盖子。\n* 断开所示电缆(II)。\n* 释放收受器右侧的红色翼片，把其向前推，然后翻过来，以便从所示区域(III)清除堵塞。\n* 重新插入收受器并连接好电缆。\n* 盖上盖子并锁好。 若错误再次出现，请联系维护人员。
ScotApp_1174,重量不符
ScotApp_1500,请参阅设备手册纠正该错误。
ScotApp_1366,秤
ScotApp_1161,寻呼机错误
ScotApp_1717,观察到的重量:
ScotApp_1832,异常部门
ScotApp_1370,加密器
ScotApp_669,签名打印失败。出错。
ScotApp_569,输入编号
ScotApp_469,469unused
ScotApp_369,打印机通讯错误
ScotApp_269,帮助模式
ScotApp_1507,请参阅设备手册纠正该错误。
ScotApp_969,969unused
ScotApp_737,737unused
ScotApp_637,安全功能处于脱机状态，最近一次的动作被取消。
ScotApp_537,537unused
ScotApp_437,余额不足
ScotApp_337,扫描您的商品，或输入代码后按“OK”按钮。
ScotApp_237,插入盛放盒，直到其闩入到位。\n\nPull拉上盒手柄，以确保闩锁锁住盛放盒。
ScotApp_137,请取走找零
ScotApp_931,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s 预计;LSWND3=%s %s 已看到;
ScotApp_1519,请参阅设备手册纠正该错误。
ScotApp_1831,插入
ScotApp_937,限制\移开商品
ScotApp_837,收费
ScotApp_1702,*** 重复的收据 ***
ScotApp_1377,数量
ScotApp_1728,请从列表中选择。
ScotApp_1395,进入服务员模式
ScotApp_716,716unused
ScotApp_616,重量比较
ScotApp_516,其它付款
ScotApp_416,正在载入HardTotals...
ScotApp_316,316unused
ScotApp_216,* 打开打印机箱的门。\n* 请打开打印机盖以检查堵塞。\n* 关闭打印机盖并重新装载纸张。\n* 打印机会打印一张带有笑脸的收据。\n* 关闭并锁好打印机箱门。
ScotApp_116,取消所有商品
ScotApp_1522,请参阅设备手册纠正该错误。
ScotApp_1506,请参阅设备手册纠正该错误。
ScotApp_1879,检查钩秤， 然后触摸 “清除安全”。
ScotApp_916,在结帐通道检查商品然后按“清除安全”按钮。
ScotApp_816,816unused
ScotApp_1167,* 打开打印机门。\n* 打开闩锁，推回打印机。\n* 打开打印机盖检查堵塞。\n* 关闭打印机盖并重新载入纸张。\n* 小心地向前拉打印机，直到其被闩锁卡入到位。
ScotApp_1518,请参阅设备手册纠正该错误。
ScotApp_1830, 商品上的重量标记以被批准
ScotApp_1376,", %s"
ScotApp_783,783unused
ScotApp_683,683unused
ScotApp_583,卡被拒绝。
ScotApp_483,请用系统附带的笔在签名垫上签名。
ScotApp_383,383unused
ScotApp_283,请输入密码
ScotApp_1505,请参阅设备手册纠正该错误。
ScotApp_983,正在载入接取带...
ScotApp_883,确认暂停
ScotApp_1363,顾客显示器
ScotApp_1714,已批准“拒绝暂停”
ScotApp_1837,"触摸""批准""继续交易。"
ScotApp_1449,纸币状态
ScotApp_1375,交易后商品修改：\n%s
ScotApp_1248,礼品卡
ScotApp_1153,卡纸。
ScotApp_1504,请参阅设备手册纠正该错误。
ScotApp_1362,键盘锁
ScotApp_1836,无效条码
ScotApp_1571,确认忽视更改
ScotApp_1215,装置错误
ScotApp_1858,Discrepancy error occurred in the recycler.
ScotApp_1152,纸张已用完。
ScotApp_1700,未能找赎%s，%s\n请检查硬币和纸币找赎机。\n若货币用完，请补充货币。\n否则，请清除堵塞。\n按 “问题已解决”按钮。
ScotApp_1823,数字收据已成功生成。
ScotApp_1605,     出卡机卡箱是空的
ScotApp_1361,现金找赎器
ScotApp_1835,检查商品或把商品放到一旁
ScotApp_1878,钩秤显示的重量不正确。
ScotApp_1281,辅助支付
ScotApp_1425,连接
ScotApp_1570,忽略更改
ScotApp_814,814unused
ScotApp_291,硬币找赎机的管路堵塞\n%s\n清除硬币找赎机堵塞，然后按“清除堵塞”按钮。
ScotApp_191,已载入交易代理。
ScotApp_1151,打印机盖是敞开的。
ScotApp_1707,收受器中卡住硬币
ScotApp_1822,见屏幕左下方的商品重量
ScotApp_757,757unused
ScotApp_657,请把退款/折扣放到一旁，直至购物结束。
ScotApp_557,限量商品
ScotApp_457,457unused
ScotApp_357,357unused
ScotApp_257,257unused
ScotApp_157,系统讯息
ScotApp_1360,现金抽屉
ScotApp_1719,添加的重量:
ScotApp_1834,最大
ScotApp_1868,手不得阻挡扫描仪镜头
ScotApp_957,数据库管理器客户机无法通讯。
ScotApp_857,确认组装费
ScotApp_1064,1064unused
ScotApp_1577,总数：
ScotApp_736,736unused
ScotApp_636,安全功能处于脱机状态。
ScotApp_1091,1091unused
ScotApp_436,确认金额
ScotApp_336,查找商品
ScotApp_236,236unused
ScotApp_136,请插入现金
ScotApp_1509,请参阅设备手册纠正该错误。
ScotApp_1821,接受重量
ScotApp_936,限制\跳过装袋
ScotApp_836,收费与顾客协议
ScotApp_1367,扫描仪
ScotApp_1718,未登记:
ScotApp_1274,USERDEFINED16
ScotApp_715,715unused
ScotApp_615,选择必须装袋。 （顾客要把商品装袋。）
ScotApp_515,515unused
ScotApp_315,315unused
ScotApp_215,借记储蓄帐户
ScotApp_115,确认取消
ScotApp_1576,纸币找赎机状态：
ScotApp_1090,运行报告
ScotApp_815,打开登记薄
ScotApp_1508,请参阅设备手册纠正该错误。
ScotApp_1406,同步交易代理/收款机
ScotApp_1099,未知设备错误
ScotApp_1563,载入
ScotApp_782,纸币找赎机堵塞\n清除纸币找赎机堵塞或\n调整残钞箱。
ScotApp_682,682unused
ScotApp_582,偿付完成。
ScotApp_482,482unused
ScotApp_382,未知
ScotApp_282,请输入用户名
ScotApp_1575,硬币找赎机状态：
ScotApp_1097,打印记录/报告
ScotApp_1448,硬币状态
ScotApp_982,设备错误
ScotApp_143,收据签名
ScotApp_1353,请把您废弃的礼品卡放入优惠券插槽。
ScotApp_1704,"按“我已解决该问题”按钮。\n\n若错误仍然存在，请重新启动终端：\n把管理员键盘锁转到'S'位置，-或按管理员按钮。\n选择“关闭整个系统。按钮”\n当画面出现空白，请通过UPS或电源板切断终端电源。\n开启终端。若错误再次发生，请要求服务。"
ScotApp_1827,\n    - 当前语言 (%s)
ScotApp_1562,计数
ScotApp_1815,* 开锁后拉出漏斗托盘。\n* 重新插入任何缺失的漏斗并确保所有漏斗插入到位。\n* 确保插好最低面额硬币漏斗。\n* 确保插入正确的货币漏斗。\n* 若错误再次出现，请联系维修人员。
ScotApp_1574,为%s输入的金额无效。\n请再次输入。
ScotApp_1543,请参阅设备手册纠正该错误。
ScotApp_1290,D - J
ScotApp_1096,正在报告
ScotApp_1352,存放礼品卡
ScotApp_1561,面额
ScotApp_1083,商品已从装袋台移开。\n放回商品。
ScotApp_1753,未发现商品
ScotApp_418,正在结束Hard Totals...
ScotApp_318,318unused
ScotApp_1813,"%s\n* 打开贮斗托盘的锁并拉出贮斗托盘 (一)。\n* 取出装有卡住物件的贮斗箱。 *检查并清除出口区内的堵塞 (二)。\n* If no jam at exit area, empty hopper bin(s). Check and clear any jams by rotating disk (III).\n* Reinsert hopper bin(s).\n* 确保所有的门关闭并被锁好。 若错误再次发生，请要求帮助。"
ScotApp_1095,选择报告类型，然后按“运行报告”按钮。
ScotApp_1351,%s\n%s %s 已删除
ScotApp_1825,保存使用偏好
ScotApp_777,777unused
ScotApp_677,677unused
ScotApp_577,开始现金偿付。
ScotApp_377,单位-状态
ScotApp_277,277unused
ScotApp_1560,收受器总计 ： %s
ScotApp_1082,本人已移开商品或袋子
ScotApp_977,实际重量： %s %s
ScotApp_877,价格提示
ScotApp_1777,该交易的完成使用了超过本商店限制的优惠券。
ScotApp_1812,硬币被卡住，亦或硬币箱已装满硬币或脱出。
ScotApp_756,756unused
ScotApp_556,交易暂停功能被拒绝。
ScotApp_456,456unused
ScotApp_356,加密器
ScotApp_256,正在结束用户退出...
ScotApp_156,系统讯息
ScotApp_1231,视觉验证
ScotApp_1874,1874unused
ScotApp_956,"关机后重新启动终端：\n\n* 把管理员键盘锁转到'S' -或-按管理员按钮。\n* 选择""下次重启时运行设备自动检测""。 Select ""是"" to confirm.\n* 选择“关闭整个系统”按钮。\n* 当出现空白画面时间，请在UPS或电源板处关闭终端。\n* 开启终端。 Check event viewer. 若错误再次出现，则请则请生成一份诊断日志文件，并联系维修人员。"
ScotApp_856,收据：
ScotApp_1567,找赎机总计 ：  %s
ScotApp_735,735unused
ScotApp_635,输入顾客的出生日期
ScotApp_535,过期商品
ScotApp_335,读卡器可能被顾客损害
ScotApp_235,现金收受器接近盛满现金
ScotApp_135,135unused
ScotApp_1776,商店审核
ScotApp_1811,* 请拉出硬币收款找赎机。\n* 移开所示区域的硬币或向前推硬币，以清除堵塞。\n* 把硬币返还给顾客。 若错误再次出现，请联系维修人员。 
ScotApp_935,重量减少
ScotApp_835,收据：
ScotApp_1708,反复按下硬币返回按钮以清除硬币堵塞，然后按“我已解决该问题”按钮。
ScotApp_1168,打印机未闩入前面位置。
ScotApp_1446,卸下
ScotApp_1566,完全取代
ScotApp_1080,把商品放到传送带上。
ScotApp_1775,批准优惠券
ScotApp_1810,硬币被卡住。
ScotApp_1297,取走找赎零钱的计时器超时
ScotApp_1648,(mmddyy)
ScotApp_708,708unused
ScotApp_608,设置重量比较
ScotApp_508,508unused
ScotApp_408,408unused
ScotApp_308,便士
ScotApp_208,208unused
ScotApp_108,优惠券不符
ScotApp_781,781unused
ScotApp_681,从热门商品中选择
ScotApp_581,暂停交易被拒绝
ScotApp_481,需要协助
ScotApp_381,正常
ScotApp_908,安全
ScotApp_521,退款金额：
ScotApp_1087,卡被接受。请扫描您的商品和优惠券。
ScotApp_981,981unused
ScotApp_881,暂停：
ScotApp_1774,优惠券金额太高
ScotApp_1296,在硬币容器中补充硬币到最佳水平。
ScotApp_1583,货币不足(%s)
ScotApp_1552,箱中装满货币
ScotApp_1295,T - Z
ScotApp_1877,防盗报警
ScotApp_1761,本优惠券箱可能已装满，或优惠券槽被堵塞。请清除优惠券槽的堵塞，然后清空优惠券箱。
ScotApp_1086,添加零重量的操作会删除所有重量输入项。
ScotApp_693,693unused
ScotApp_794,纸币找赎机的机盒堵塞\n清除纸币找赎机堵塞。
ScotApp_694,694unused
ScotApp_594,已载入NCR SelfServ Checkout SigCap签名识别。
ScotApp_494,请在选单上选择现金返还金额。
ScotApp_394,394unused
ScotApp_1098,* 打开打印机外壳门。\n* 检查显示区域的卡纸。\n* 若未发现卡纸，请重新载入打印纸。\n* 打印机会打印一个带笑脸的收据。\n* 关闭并锁上打印机壳的门。
ScotApp_1551,货币充裕(%s)
ScotApp_994,关闭
ScotApp_894,已载入DBM
ScotApp_1760,本优惠券箱可能已装满，或优惠券槽被堵塞。请清除优惠券槽的堵塞，然后清空优惠券箱。
ScotApp_1371,现金收受器
ScotApp_1803,仅接受现金
ScotApp_1359,小票打印机
ScotApp_1085,收集优惠券
ScotApp_21,21unused
ScotApp_776,776unused
ScotApp_676,硬币找赎机：已填满于%s，%s
ScotApp_1491,请参阅设备手册纠正该错误。
ScotApp_476,优惠券丢入收集容器
ScotApp_376,376unused
ScotApp_276,276unused
ScotApp_176,要停止结帐并取消整个购物吗？
ScotApp_976,976unused
ScotApp_876,请输入收银主管的身份号码然后按“输入”按钮。
ScotApp_1271,USERDEFINED13
ScotApp_1767,无法访问秤的重量参数。
ScotApp_755,正在处理...
ScotApp_655,例外商品
ScotApp_1084,收集
ScotApp_455,455unused
ScotApp_355,选择系统功能
ScotApp_255,255unused
ScotApp_155,系统讯息
ScotApp_1011,运送...
ScotApp_869,输入授权号码然后按“输入”按钮。
ScotApp_955,智能秤开启失败
ScotApp_855,组装费用：
ScotApp_23,+ %s (%s)
ScotApp_1766,扫描仪/秤错误。
ScotApp_1280,现金
ScotApp_1335,结帐通道关闭
ScotApp_1497,请参阅设备手册纠正该错误。
ScotApp_728,728unused
ScotApp_628,结帐通道编号： %d
ScotApp_528,528unused
ScotApp_428,黄色
ScotApp_328,无法找赎%s。\n* 请检查硬币和账单配出机。\n* 若是空的，请填充。\n* 若不是空的，请清除堵塞。\n* 按“我已解决该问题”按钮。
ScotApp_228,读卡器遮门卡在关闭位置
ScotApp_128,128unused
ScotApp_1690,请求服务
ScotApp_281,281unused
ScotApp_181,\n使用键盘输入优惠券的金额，单位是便士，然后按“OK”按钮。
ScotApp_928,请到结帐通道检查设备。
ScotApp_828,828unused
ScotApp_1033,去活商品或在结帐通道取下商品硬标牌然后按“清除安全”按钮。
ScotApp_1496,请参阅设备手册纠正该错误。
ScotApp_680,680unused
ScotApp_580,尝试首先作废优惠券，然后剔除商品。
ScotApp_380,380unused
ScotApp_280,清除安全日志
ScotApp_180,把优惠券放到一旁。并在购物结束时把优惠券丢入其收集容器。
ScotApp_1364,Micr（磁性墨水字符识别）
ScotApp_980,定时器超时，顾客未响应
ScotApp_880,880unused
ScotApp_970,970unused
ScotApp_1104,e=d=0.01磅，最重30.00磅，最轻0.2磅，最多3000
ScotApp_1032,EAS商品仍处于活动状态。
ScotApp_1286,中文
ScotApp_1462,箱
ScotApp_1298,需要店员协助的功能
ScotApp_1031,扫描您的优惠券。
ScotApp_1482,请参阅设备手册纠正该错误。
ScotApp_1706,装置尚未就绪。关闭任何其它可能访问本设备的应用程序，然后按“我已解决该问题”按钮。 若错误再次发生，请联系Gunnebo公司。
ScotApp_1399,      服务员
ScotApp_1494,请参阅设备手册纠正该错误。
ScotApp_1672,硬币收款找零机出错
ScotApp_573,输入用户名并按“输入”按钮。
ScotApp_173,173unused
ScotApp_775,欢迎使用NCR SelfServ自助结帐系统！
ScotApp_675,硬币找赎机机已装满
ScotApp_1481,请参阅设备手册纠正该错误。
ScotApp_79,79unused
ScotApp_69,69unused
ScotApp_59,再试一次
ScotApp_39,交易取消
ScotApp_29,限售商品
ScotApp_19,税费
ScotApp_975,975unused
ScotApp_603,编辑/添加重量输入项
ScotApp_99,需要剔除的数量
ScotApp_89,89unused
ScotApp_303,取消商品
ScotApp_203,203unused
ScotApp_103,输入商品代码。
ScotApp_1889,安全信任级别
ScotApp_1443,插入补充的硬币，或按“取出现金”按钮来卸下现金。
ScotApp_903,商品已从装袋台移开。
ScotApp_803,803unused
ScotApp_1555,找赎机
ScotApp_1037,签名
ScotApp_1480,请参阅设备手册纠正该错误。
ScotApp_1263,USERDEFINED5
ScotApp_1697,清除堵塞
ScotApp_748,748unused
ScotApp_648,商品条码
ScotApp_548,548unused
ScotApp_448,您经常购物的帐户已被激活。
ScotApp_348,348unused
ScotApp_248,248unused
ScotApp_148,148unused
ScotApp_1479,请参阅设备手册纠正该错误。
ScotApp_948,\n* 远程协助
ScotApp_848,需要数量：
ScotApp_485,需要签名
ScotApp_1036,EAS商品处于活动状态
ScotApp_1487,请参阅设备手册纠正该错误。
ScotApp_1499,请参阅设备手册纠正该错误。
ScotApp_1023,1023unused
ScotApp_1179,顾客走开计时器超时
ScotApp_1035,EAS商品处于活动状态
ScotApp_1682,纸币阅读器一般性错误
ScotApp_1486,请参阅设备手册纠正该错误。
ScotApp_1144,找赎机未回应。
ScotApp_866,是
ScotApp_1498,请参阅设备手册纠正该错误。
ScotApp_1384,语言
ScotApp_1743,请输入用户名，然后按“输入”按钮进行登录 ，或将您的手指放到指纹识别器上进行登录。
ScotApp_1319,凭证
ScotApp_1178,移开商品的次数超过限定次数
ScotApp_1001,未发现商品
ScotApp_1034,1034unused
ScotApp_1485,请参阅设备手册纠正该错误。
ScotApp_1068,1068unused
ScotApp_1694,因为%s，所以使用替换。按“现金/纸张状态”按钮，以填充货币或清除堵塞。
ScotApp_1165,小心地向前拉打印机，直到其卡入到位。\n\n关闭并锁定打印机门。
ScotApp_1021,注意
ScotApp_1230,优惠券负金额，用于抵减商品价格
ScotApp_1484,请参阅设备手册纠正该错误。
ScotApp_912,批准并更新重量
ScotApp_723,723unused
ScotApp_623,使用键盘输入允许误差然后 按“输入”按钮。
ScotApp_523,卡被拒绝
ScotApp_423,请插入卡。请检查购物篮中的其它商品。
ScotApp_323,  数量%d @ %d/%s
ScotApp_223,读卡器卡片箱已满
ScotApp_123,123unused
ScotApp_1020,扫描商品
ScotApp_923,923unused
ScotApp_823,剔除批准
ScotApp_1483,请参阅设备手册纠正该错误。
ScotApp_1237,优惠券
ScotApp_1680,无法恢复的错误。请关闭该结帐通道。联系Gunnebo 公司，并向其提供如下所示的错误信息。\n\nSafePay安全付款功能出错： %s
ScotApp_702,702unused
ScotApp_602,编辑/添加\n重量输入项
ScotApp_502,把取消的商品放到一旁。
ScotApp_402,不在此处
ScotApp_302,请在付款设备上输入您的个人识别号码。
ScotApp_202,正在测试退出登录功能...
ScotApp_102,召回商品
ScotApp_1722,结帐通道处于培训模式，继续进行交易吗？
ScotApp_902,商品已从装袋台移开。放回商品。
ScotApp_802,"\n是否采购整箱\n%s？\n\n选择""是""或""否""。"
ScotApp_568,清除
ScotApp_468,  召回
ScotApp_368,打印纸因堵塞未加载
ScotApp_268,读卡错误
ScotApp_1027,取消交易，请按“是”按钮，恢复交易，请按“否”按钮。
ScotApp_1354,收集礼品卡
ScotApp_968,968unused
ScotApp_868,授权号码输入项：
ScotApp_1433,在袋秤上。
ScotApp_1687,使用“现金/纸张状态”屏幕载入现金。
ScotApp_1150,打印机外壳门是敞开的。
ScotApp_1699,因为%s，所以使用替换。填充货币或清除堵塞，然后按“问题已解决”按钮盘。
ScotApp_1259,USERDEFINED1
ScotApp_1223,现金/纸张短缺
ScotApp_1379,单价
ScotApp_1432,<<<硬币不足。请补充硬币。>>>
ScotApp_1686,无法恢复的错误。请关闭该结帐通道。呼叫Gunnebo公司，并向其提供如下所示的错误信息。\n\nSafePay安全付款功能出错： %s
ScotApp_1157,纸币找赎机门或许已敞开。\n\n纸币找赎机门敞开情况下找赎机将无法运行。\n\n关闭找赎机门或安全门并用闩锁把其卡紧。
ScotApp_1013,堆积商品
ScotApp_1184,更多数据
ScotApp_1848,"商品已被删除。请扫描下一件商品或触摸""输入代码""。"
ScotApp_1169,打开打印机外壳门。\n* 小心地把打印机向前拉，直到其闩入到位。\n* 关闭并锁上打印机外壳门。
ScotApp_1662,其它收据
ScotApp_1311,* 取下纸币收受器。\n* 打开收受器组件。\n* 检查堵塞，然后更换组件。\n* 检查纸币收受器马达是否开启及LED指示灯是否为绿色。
ScotApp_1025,从传送带上取下所有商品然后关闭安全盖。
ScotApp_1378,重量
ScotApp_22,无\n现金\n返还\n+ 0          (%s)
ScotApp_1234,数量限制
ScotApp_1685,硬币装置一般性错误
ScotApp_1156,检查硬币找赎机电源开关是否接通。
ScotApp_1012,正在运送您的商品。
ScotApp_1365,MSR
ScotApp_1235,EAS商品处于活动状态
ScotApp_1221,负金额
ScotApp_1143,硬币数量不足或硬币容器不存在。
ScotApp_434,优惠类型
ScotApp_1625,补充硬币或按“取出硬币”按钮以卸下。
ScotApp_1430,取消商品     
ScotApp_1684,硬币收款找零机出错
ScotApp_1155,设备脱机。
ScotApp_834,收费与顾客协议：
ScotApp_799,检查购物篮
ScotApp_699,卖不掉的商品
ScotApp_599,复位表格设备...
ScotApp_499,499unused
ScotApp_399,399unused
ScotApp_299,299unused
ScotApp_199,已载入用户退出(User Exits)功能。
ScotApp_743,743unused
ScotApp_643,商品已被删除。扫描下件商品。
ScotApp_543,店员编号不能大于%d位数。
ScotApp_343,343unused
ScotApp_243,读卡器无效卡
ScotApp_999,已超额
ScotApp_899,批准剔除，为：
ScotApp_1220,电子转账(EFT)
ScotApp_1142,硬币找赎机错误
ScotApp_943,我用自带的购物袋
ScotApp_843,843unused
ScotApp_1437,移开商品的次数超过限定次数
ScotApp_1601,     出卡机卡箱中的卡数量不足
ScotApp_722,722unused
ScotApp_622,修改通用产品编号的允许误差
ScotApp_522,个人识别号码错误
ScotApp_422,422unused
ScotApp_322,322unused
ScotApp_222,打印机的请求序列：检查打印机或事件查看器的错误，然后按“我已解决该问题”按钮。
ScotApp_122,122unused
ScotApp_1010,1010unused
ScotApp_922,922unused
ScotApp_822,批准剔除的商品。
ScotApp_1715,批准“拒绝暂停”
ScotApp_1227,时间限制
ScotApp_701,701unused
ScotApp_601,601unused
ScotApp_401,插入卡。请检查购物篮中的其它商品。
ScotApp_301,输入优惠券金额
ScotApp_201,正在测试登录功能...
ScotApp_101,未知价格
ScotApp_1633,纸币收款找零机出错
ScotApp_901,批准后可跳过装袋。
ScotApp_801,成箱购物
ScotApp_1824,数字收据未被生成。
ScotApp_1328,把重量增加一倍
ScotApp_1299,开始交易，并进入辅助模式
ScotApp_1226,召回商品
ScotApp_1140,纸币找赎机堵塞。
ScotApp_1579,纸币收受机
ScotApp_1426,%s\n%d正确吗？
ScotApp_1632,取下纸币盒盖。检查连接纸币验证器的电缆，然后重试。若错误再次发生，请要求帮助服务。\n\nSafePay安全付款功能出错： %s
ScotApp_1141,未能找赎%s。注意：纸币可能卡在纸币找赎机最上方。
ScotApp_1791,仅接受现金
ScotApp_1357,收集礼品卡
ScotApp_763,763unused
ScotApp_714,714unused
ScotApp_614,装袋强制规定
ScotApp_514,514unused
ScotApp_314,卡箱问题
ScotApp_214,借记结算帐户
ScotApp_114,无法取消商品
ScotApp_1369,杂项
ScotApp_78,自动转账（不用现金）
ScotApp_1630,纸币收款找零机出错
ScotApp_58,OK
ScotApp_48,48unused
ScotApp_914,前往结帐通道，移开多余商品，然后按“清除安全”按钮。
ScotApp_1422,手持扫描仪
ScotApp_18,共计
ScotApp_1147,装袋台的秤出错
ScotApp_1578,总金额：
ScotApp_1022,我不想\n把该商品装袋。
ScotApp_98,98unused
ScotApp_88,88unused
ScotApp_1003,时间限制
ScotApp_1434,年龄限制
ScotApp_1356,收集
ScotApp_1212,其它
ScotApp_1455,无效号码
ScotApp_1713,触摸以批准“拒绝暂停”
ScotApp_1565,输入%s的载入金额
ScotApp_194,正在载入设备管理器(Device Manager)...
ScotApp_1275,USERDEFINED17
ScotApp_1146,收受器未回应。
ScotApp_1303,已接受会员优惠卡： #%s
ScotApp_70,70unused
ScotApp_60,求助
ScotApp_50,50unused
ScotApp_40,商店授权
ScotApp_30,剔除商品
ScotApp_20,20unused
ScotApp_10,10unused
ScotApp_1779,作废优惠券之前无法剔除商品。请首先作废商品的优惠券。
ScotApp_1211,默认
ScotApp_90,90unused
ScotApp_80,80unused
ScotApp_663,个人识别号码输入失败
ScotApp_463,远程审批(Remote Approval)结束...
ScotApp_363,\n使用键盘输入店员密码。
ScotApp_163,163unused
ScotApp_1420,取消商品\n%s吗？
ScotApp_1145,硬币收受器错误
ScotApp_963,取消请求
ScotApp_863,优惠券金额登入项
ScotApp_1816,有硬币卡住或门处于敞开状态。
ScotApp_1637,电缆问题
ScotApp_742,742unused
ScotApp_642,已添加该商品。扫描下件商品。
ScotApp_542,无法创建店员条码。
ScotApp_342,类型说明
ScotApp_242,读卡器卡堵塞
ScotApp_142,确认金额
ScotApp_1210,上次视图
ScotApp_942,942unused
ScotApp_842,842unused
ScotApp_1044,店员协助式偿付
ScotApp_1427,更改该商品数量： \n%s
ScotApp_721,721unused
ScotApp_621,默认
ScotApp_1341,音量控制
ScotApp_421,"请扫描您的商品，或按""开始""按钮开始。"
ScotApp_321,交易核查
ScotApp_221,关闭并锁好打印机箱门。
ScotApp_121,该商品。
ScotApp_1636,硬币收款找零机出错
ScotApp_921,安全秤上的预计重量。
ScotApp_821,821unused
ScotApp_600,安全维护
ScotApp_500,500unused
ScotApp_400,400unused
ScotApp_1368,签名识别
ScotApp_200,正在测试交易代理(Transaction Broker)...
ScotApp_100,需要数量
ScotApp_1076,注意
ScotApp_1623,把纸币转入盒中以便拾取
ScotApp_1340,关闭整个系统
ScotApp_1108,%s\t%s\t%s @ %s %s/%s\t%s
ScotApp_1814,漏斗箱脱出或未就位。
ScotApp_1758,优惠券箱错误
ScotApp_1635,检查纸币收款找零机电缆并重试。若错误再次发生，请要求帮助服务。\n\nSafePay安全付款功能出错： %s
ScotApp_1557,找赎机拾取
ScotApp_734,734unused
ScotApp_634,634unused
ScotApp_534,有时间限制的商品
ScotApp_1413,请在#分钟内完成您的交易。可能很快出现断电。
ScotApp_334,读卡器无卡错误
